annee,n_matchs,baseline_%,modele_%,decennie,gain_pts
1912,53,49.06,56.6,1910,7.54
1919,50,66.0,60.0,1910,-6.0
1920,54,64.81,61.11,1920,-3.7
1921,60,50.0,50.0,1920,0.0
1922,73,45.21,42.47,1920,-2.74
1923,94,46.81,46.81,1920,0.0
1924,110,59.09,50.0,1920,-9.09
1925,87,45.98,52.87,1920,6.89
1926,88,54.55,44.32,1920,-10.23
1927,82,51.22,50.0,1920,-1.22
1928,99,55.56,53.54,1920,-2.02
1929,84,58.33,57.14,1920,-1.19
1930,115,57.39,54.78,1930,-2.61
1931,100,60.0,48.0,1930,-12.0
1932,93,55.91,56.99,1930,1.08
1933,95,47.37,51.58,1930,4.21
1934,111,48.65,48.65,1930,0.0
1935,119,52.94,59.66,1930,6.72
1936,85,47.06,50.59,1930,3.53
1937,121,49.59,48.76,1930,-0.83
1938,152,53.29,52.63,1930,-0.66
1939,88,51.14,43.18,1930,-7.96
1940,57,56.14,52.63,1940,-3.51
1941,52,50.0,50.0,1940,0.0
1942,57,54.39,54.39,1940,0.0
1945,65,66.15,66.15,1940,0.0
1946,115,67.83,57.39,1940,-10.44
1947,141,45.39,54.61,1940,9.22
1948,128,53.91,53.91,1940,0.0
1949,153,48.37,48.37,1940,0.0
1950,135,51.85,51.85,1950,0.0
1951,106,56.6,49.06,1950,-7.54
1952,118,47.46,54.24,1950,6.78
1953,179,43.02,51.96,1950,8.94
1954,168,43.45,51.79,1950,8.34
1955,153,49.02,44.44,1950,-4.58
1956,196,46.43,50.0,1950,3.57
1957,221,52.49,55.66,1950,3.17
1958,188,48.4,46.28,1950,-2.12
1959,187,53.48,57.75,1950,4.27
1960,218,61.01,63.3,1960,2.29
1961,233,53.22,57.94,1960,4.72
1962,246,57.72,59.35,1960,1.63
1963,315,51.11,48.89,1960,-2.22
1964,189,49.74,48.68,1960,-1.06
1965,359,48.19,51.25,1960,3.06
1966,353,47.59,58.07,1960,10.48
1967,370,50.81,57.57,1960,6.76
1968,308,52.92,53.9,1960,0.98
1969,380,55.0,56.32,1960,1.32
1970,349,47.85,53.3,1970,5.45
1971,408,51.72,57.11,1970,5.39
1972,419,47.49,54.42,1970,6.93
1973,488,52.25,53.89,1970,1.64
1974,382,46.6,54.97,1970,8.37
1975,397,54.91,57.93,1970,3.02
1976,400,45.75,55.0,1970,9.25
1977,455,50.77,59.34,1970,8.57
1978,391,47.31,60.36,1970,13.05
1979,444,54.5,58.33,1970,3.83
1980,509,45.58,53.24,1980,7.66
1981,500,50.6,56.2,1980,5.6
1982,420,46.43,53.1,1980,6.67
1983,465,46.24,52.9,1980,6.66
1984,542,49.08,58.3,1980,9.22
1985,601,49.42,53.41,1980,3.99
1986,429,44.06,53.61,1980,9.55
1987,395,49.11,50.89,1980,1.78
1988,541,40.3,48.24,1980,7.94
1989,623,49.76,56.98,1980,7.22
1990,482,47.51,52.49,1990,4.98
1991,508,47.05,53.15,1990,6.1
1992,600,46.33,51.0,1990,4.67
1993,795,49.94,60.38,1990,10.44
1994,609,48.11,53.37,1990,5.26
1995,669,53.96,59.79,1990,5.83
1996,837,51.37,60.57,1990,9.2
1997,907,52.15,63.51,1990,11.36
1998,761,48.09,55.85,1990,7.76
1999,776,49.48,56.44,1990,6.96
2000,1040,51.63,59.23,2000,7.6
2001,1032,48.84,58.91,2000,10.07
2002,768,45.44,53.12,2000,7.68
2003,947,51.95,61.35,2000,9.4
2004,1079,46.06,55.89,2000,9.83
2005,804,48.13,59.08,2000,10.95
2006,842,48.34,58.79,2000,10.45
2007,988,47.37,56.78,2000,9.41
2008,1101,48.77,58.58,2000,9.81
2009,925,49.41,58.92,2000,9.51
2010,863,45.42,55.39,2010,9.97
2011,1119,49.15,60.41,2010,11.26
2012,1025,49.56,55.61,2010,6.05
2013,963,48.6,58.57,2010,9.97
2014,856,46.61,56.07,2010,9.46
2015,1039,47.74,59.67,2010,11.93
2016,920,49.57,60.65,2010,11.08
2017,924,45.89,56.28,2010,10.39
2018,929,46.61,55.65,2010,9.04
2019,1149,49.26,62.14,2010,12.88
2020,347,42.94,53.6,2020,10.66
2021,1115,48.7,65.11,2020,16.41
2022,970,49.79,58.76,2020,8.97
2023,1054,46.68,61.48,2020,14.8
2024,1231,46.14,59.22,2020,13.08
2025,1002,48.5,61.98,2020,13.48
